#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:GTR1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:GTR1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:GTR1">
#                <taxonset id="TaxonSet.GTR1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:GTR1" name="distribution" x="@birthRate.t:GTR1">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:GTR1" name="distribution">
#            <parameter id="clockRate.c:GTR1" name="x">1.0E-4</parameter>
#            <LogNormal id="LogNormalDistributionModel.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.03" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Constraint_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="5" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="58" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.01" lower="2286.0" name="distr" upper="2795.0"/>
#        </distribution>
#        <distribution id="Constraint_2.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="80" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="56" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="31" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="10" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.02" lower="2549.0" name="distr" upper="3117.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GTR1" id="treeLikelihood.GTR1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:GTR1">
#            <siteModel id="SiteModel.s:GTR1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GTR1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GTR1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GTR1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="LewisMK.s:GTR1" spec="beast.evolution.substitutionmodel.LewisMK" stateNumber="2"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GTR1" id="StrictClock.c:GTR1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	monophyletic(Constraint_1)	logP(mrca(Constraint_1))	mrcatime(Constraint_1)	clockRate	monophyletic(Constraint_2)	logP(mrca(Constraint_2))	mrcatime(Constraint_2)	
130000	-79803.40732886447	-79084.20746938097	-719.1998594835073	-79084.20746938097	8010.235584265059	-665.4527609753469	5.99498792727468E-4	1.0	1	-6.2324480165505225	2629.4797344400195	1.1002653136225782E-4	1	-6.342121418721152	2819.8682482898103	
140000	-79820.50535739784	-79103.50158934768	-717.0037680501524	-79103.50158934768	7010.182304523593	-664.0074659059937	7.002782004557392E-4	1.0	1	-6.2324480165505225	2762.8901907594814	1.1157909605308734E-4	1	-6.342121418721152	2749.2913747961247	
150000	-79794.37561195056	-79091.14498031049	-703.2306316400674	-79091.14498031049	6360.215850103192	-651.567175420535	7.816090261097996E-4	1.0	1	-6.2324480165505225	2361.7439829792656	1.3092271494392367E-4	1	-6.342121418721152	2562.6312015117014	
160000	-79802.18818686015	-79087.83499912248	-714.3531877376655	-79087.83499912248	7450.451642187648	-661.9440152948133	7.597836650661753E-4	1.0	1	-6.2324480165505225	2305.641659144683	1.1659062453601628E-4	1	-6.342121418721152	2590.770500414881	
170000	-79805.41493342051	-79087.52413874546	-717.8907946750545	-79087.52413874546	7436.397693622907	-664.0103408938203	5.688321826812187E-4	1.0	1	-6.2324480165505225	2428.4060714752823	1.1201546624596747E-4	1	-6.342121418721152	2717.6415271515802	
180000	-79812.045922893	-79092.74092680909	-719.3049960839111	-79092.74092680909	7116.56351209198	-665.722258327199	6.246345612688285E-4	1.0	1	-6.2324480165505225	2671.009788213031	1.097185624419719E-4	1	-6.342121418721152	2814.1629979257164	
190000	-79800.79971251007	-79084.63083145069	-716.1688810593743	-79084.63083145069	7391.0670494609685	-663.6382054809354	7.55732572565609E-4	1.0	1	-6.2324480165505225	2476.760115176495	1.1449216931377203E-4	1	-6.342121418721152	2682.590966573075	
200000	-79804.95938696049	-79091.90723678759	-713.052150172899	-79091.90723678759	7485.351931567737	-660.8513388736304	7.805396674984619E-4	1.0	1	-6.2324480165505225	2411.756810491289	1.1863505094575782E-4	1	-6.342121418721152	2624.428009217593	
210000	-79811.99357344482	-79103.636035272	-708.3575381728225	-79103.636035272	6304.560262231726	-655.4611374881651	6.302592144625223E-4	1.0	1	-6.2324480165505225	2422.109895894475	1.2358905578312802E-4	1	-6.342121418721152	2689.600603121202	
220000	-79804.43566092102	-79093.00213847599	-711.4335224450361	-79093.00213847599	6583.100780950515	-658.538102779036	6.538878271662045E-4	1.0	1	-6.2324480165505225	2455.8982081619947	1.2001037914488228E-4	1	-6.342121418721152	2753.9619361010127	
230000	-79810.56494290418	-79090.91522236865	-719.6497205355264	-79090.91522236865	7658.494871289489	-665.9147200475106	6.078783675350678E-4	1.0	1	-6.2324480165505225	2510.3404834333874	1.0905131711248079E-4	1	-6.342121418721152	3075.3824927571554	
240000	-79810.7515164883	-79090.74016558389	-720.0113509043998	-79090.74016558389	7385.949676459242	-666.3996803737969	6.372373281458805E-4	1.0	1	-6.2324480165505225	2383.0601093560185	1.0742246807635234E-4	1	-6.342121418721152	2851.167855970725	
250000	-79808.17981172395	-79093.28617538832	-714.8936363356393	-79093.28617538832	6714.010939277768	-662.5740482080982	7.883260412611692E-4	1.0	1	-6.2324480165505225	2395.8157382087857	1.1517996423517166E-4	1	-6.342121418721152	2641.7573589912304	
260000	-79800.76067855189	-79086.01891491776	-714.7417636341249	-79086.01891491776	7126.835931952478	-662.1644838224164	7.434159967890879E-4	1.0	1	-6.2324480165505225	2304.912778938889	1.1497996870509347E-4	1	-6.342121418721152	2572.3583335409157	
270000	-79813.30613497525	-79096.49345515692	-716.8126798183383	-79096.49345515692	6811.64264511692	-663.4813866060259	6.432118924374634E-4	1.0	1	-6.2324480165505225	2384.8536260623514	1.1223257668121063E-4	1	-6.342121418721152	2774.760724283344	
280000	-79807.02047996379	-79089.71384790774	-717.3066320560497	-79089.71384790774	6829.209954370475	-663.2078907140874	5.327953284785233E-4	1.0	1	-6.2324480165505225	2442.6317720191964	1.1351332453661854E-4	1	-6.342121418721152	2636.2634787596685	
290000	-79815.74692292367	-79099.537892368	-716.2090305556746	-79099.537892368	7020.381446922518	-662.7146291064071	6.20623826374052E-4	1.0	1	-6.2324480165505225	2533.531731651067	1.1208004064761243E-4	1	-6.342121418721152	2909.043788378925	
300000	-79803.85346554	-79091.83826560694	-712.0151999330608	-79091.83826560694	6699.778926225208	-660.3901781133583	8.661629571552762E-4	1.0	1	-6.2324480165505225	2397.8959078410007	1.2174234446919701E-4	1	-6.342121418721152	2594.674262484408	
310000	-79808.37317955871	-79095.85747837581	-712.5157011828968	-79095.85747837581	6963.82820457233	-659.4146766314426	6.439649577522868E-4	1.0	1	-6.2324480165505225	2327.923660944033	1.169692068966481E-4	1	-6.342121418721152	2789.234490333695	
320000	-79811.07007136922	-79089.17802350057	-721.8920478686489	-79089.17802350057	7516.082984118386	-667.7211136197841	5.692503010997606E-4	1.0	1	-6.2324480165505225	2430.0240207913757	1.0616860052382827E-4	1	-6.342121418721152	3114.3278761181255	
330000	-79810.99568712573	-79101.439715376	-709.5559717497379	-79101.439715376	6619.974508587014	-656.6729526507855	6.471009110578612E-4	1.0	1	-6.2324480165505225	2305.8239870041384	1.2129483511955315E-4	1	-6.342121418721152	2582.0034514843455	
340000	-79814.77408493626	-79091.18231384117	-723.5917710950915	-79091.18231384117	7925.038572284227	-669.34546568837	5.785063919545903E-4	1.0	1	-6.2324480165505225	2532.1288431937737	1.0337843288470823E-4	1	-6.342121418721152	2978.6577334058024	
350000	-79824.0477230723	-79090.16330887532	-733.8844141969827	-79090.16330887532	8328.52376500134	-678.925917137971	5.658350021522798E-4	1.0	1	-6.2324480165505225	2769.557889897978	9.254364936753816E-5	1	-6.342121418721152	3082.480203282924	
360000	-79809.36619291276	-79092.80321273641	-716.5629801763423	-79092.80321273641	7634.196095756212	-663.9137626714071	7.343463893034429E-4	1.0	1	-6.2324480165505225	2406.8576544189373	1.1456457781709643E-4	1	-6.342121418721152	2929.5940475189623	
370000	-79811.00597288663	-79089.62385590332	-721.3821169833117	-79089.62385590332	7444.713005624385	-667.7566698574038	6.537936696321973E-4	1.0	1	-6.2324480165505225	2708.918330122092	1.0500448197745748E-4	1	-6.342121418721152	2668.795440681314	
380000	-79809.73539113959	-79083.90887272276	-725.8265184168336	-79083.90887272276	8856.568733009213	-671.8415573002983	6.186358797418268E-4	1.0	1	-6.2324480165505225	2757.535986380017	1.0276049547499625E-4	1	-6.342121418721152	2790.828284931437	
390000	-79816.84410566968	-79094.64917572563	-722.1949299440467	-79094.64917572563	7599.30354027647	-667.3159602802549	4.588681031747013E-4	1.0	1	-6.2324480165505225	2519.6812210800404	1.1132476943623832E-4	1	-6.342121418721152	2687.660069115747	
400000	-79812.4631545648	-79095.29943123135	-717.1637233334535	-79095.29943123135	7277.543392880944	-664.0227366621737	6.842337549188678E-4	1.0	1	-6.2324480165505225	2432.1729672455913	1.106623877960035E-4	1	-6.342121418721152	2605.678687435375	
410000	-79801.10517348355	-79086.00380324476	-715.1013702387929	-79086.00380324476	6916.342818302856	-661.6345183830808	5.971613479696018E-4	1.0	1	-6.2324480165505225	2298.6149432282177	1.1619028899176093E-4	1	-6.342121418721152	2555.284752871822	
420000	-79809.86768538483	-79098.62549223559	-711.2421931492485	-79098.62549223559	6696.416667301308	-659.2397236362393	7.932698579666641E-4	1.0	1	-6.2324480165505225	2323.8721748210605	1.2151989077303739E-4	1	-6.342121418721152	2727.12898008122	
430000	-79809.68812019507	-79097.49990727831	-712.1882129167603	-79097.49990727831	6635.716387262426	-659.8324186010763	7.648207495544951E-4	1.0	1	-6.2324480165505225	2371.466181802751	1.1713671176112832E-4	1	-6.342121418721152	2719.2940980478447	
440000	-79807.98610132415	-79091.83627294726	-716.1498283768847	-79091.83627294726	7115.590783070049	-662.4106289527828	5.71318255450448E-4	1.0	1	-6.2324480165505225	2414.5183950781657	1.145484664237596E-4	1	-6.342121418721152	2715.218804259516	
450000	-79811.3774566889	-79099.34391749043	-712.0335391984744	-79099.34391749043	6730.794336456401	-658.867534261027	6.29961507226476E-4	1.0	1	-6.2324480165505225	2377.8470120340157	1.1763100215115195E-4	1	-6.342121418721152	2911.178486541076	
460000	-79807.92701619874	-79099.18441025283	-708.7426059459139	-79099.18441025283	6264.116218765805	-655.9404742253605	6.392550352424452E-4	1.0	1	-6.2324480165505225	2375.2870049823127	1.2433766018131245E-4	1	-6.342121418721152	2724.997204592173	
470000	-79802.08571862226	-79082.33454139986	-719.7511772224007	-79082.33454139986	7846.137921847026	-666.4754718305657	6.718729956106046E-4	1.0	1	-6.2324480165505225	2728.1570845063793	1.0953281584162475E-4	1	-6.342121418721152	2915.099045680531	
480000	-79805.88414216042	-79090.4263015906	-715.457840569812	-79090.4263015906	7150.299001207391	-662.5190058991577	6.777357735068815E-4	1.0	1	-6.2324480165505225	2345.331991937763	1.157082246200767E-4	1	-6.342121418721152	2663.569582962798	
490000	-79790.10562785692	-79084.25466601111	-705.8509618458005	-79084.25466601111	6444.669360819036	-654.080822772476	7.8371101149031E-4	1.0	1	-6.2324480165505225	2388.80589093034	1.2807654072792676E-4	1	-6.342121418721152	2749.2077932109355	
500000	-79810.8972016864	-79093.35256713477	-717.5446345516233	-79093.35256713477	7079.209252044515	-663.6100710874614	5.643051027245523E-4	1.0	1	-6.2324480165505225	2583.198718743213	1.1163156258318758E-4	1	-6.342121418721152	2631.304963179816	
510000	-79813.44104877583	-79094.50766988451	-718.9333788913276	-79094.50766988451	8108.260175265669	-665.1264168491372	5.815381093855186E-4	1.0	1	-6.2324480165505225	2359.7552333180447	1.1152367207000216E-4	1	-6.342121418721152	2942.334176208405	
520000	-79805.07155158516	-79090.40609868865	-714.6654528965144	-79090.40609868865	7257.52609368192	-661.0522745987597	5.724531871328409E-4	1.0	1	-6.2324480165505225	2298.7687435116463	1.1704384396316087E-4	1	-6.342121418721152	2553.6230333567887	
530000	-79802.4245906959	-79095.36428861727	-707.060302078628	-79095.36428861727	6074.528111400974	-654.7339148150472	7.160504039890224E-4	1.0	1	-6.2324480165505225	2288.3492951421745	1.2403090000868673E-4	1	-6.342121418721152	2748.257339505804	
540000	-79807.56132405747	-79086.31834402827	-721.2429800291983	-79086.31834402827	8085.843058087429	-667.0303415041384	5.50941644689672E-4	1.0	1	-6.2324480165505225	2750.7904225019415	1.081827992613905E-4	1	-6.342121418721152	2810.896925637592	
550000	-79810.69175010624	-79099.55691823344	-711.1348318727989	-79099.55691823344	6575.283628111927	-657.8802866829845	5.838774077924601E-4	1.0	1	-6.2324480165505225	2290.6637876077043	1.2305765353096693E-4	1	-6.342121418721152	2600.5382942535966	
560000	-79806.66899797216	-79089.4335054102	-717.2354925619572	-79089.4335054102	7399.052969223497	-664.8388140560645	7.851439014223726E-4	1.0	1	-6.2324480165505225	2480.4737360898434	1.1391743447055253E-4	1	-6.342121418721152	2559.5624810870827	
570000	-79814.21212854733	-79089.79809054818	-724.4140379991487	-79089.79809054818	8528.234191371883	-670.0373342944072	5.528913432678871E-4	1.0	1	-6.2324480165505225	2617.6117826076556	1.0470097959804298E-4	1	-6.342121418721152	2800.4063139104055	
580000	-79789.79142751546	-79078.42341930243	-711.3680082130275	-79078.42341930243	7038.8043201171095	-658.7851033061995	7.055049307711155E-4	1.0	1	-6.2324480165505225	2455.0691700931447	1.1968218918215892E-4	1	-6.342121418721152	2658.9924648132956	
590000	-79808.46353822685	-79092.78956957614	-715.6739686507024	-79092.78956957614	7410.181610270061	-662.607023013002	6.636101263512964E-4	1.0	1	-6.2324480165505225	2310.377238017511	1.1492037909944845E-4	1	-6.342121418721152	2708.9663838785755	
600000	-79807.95672644982	-79092.3148905495	-715.6418359003148	-79092.3148905495	6657.090625465939	-661.7966994849785	5.599630200290085E-4	1.0	1	-6.2324480165505225	2288.2546459505024	1.141897698345857E-4	1	-6.342121418721152	2912.9204754924253	
610000	-79802.56746970453	-79094.5203719681	-708.0470977364275	-79094.5203719681	6460.753302642174	-655.849100484324	7.384425312242389E-4	1.0	1	-6.2324480165505225	2449.7240541278807	1.239634209355351E-4	1	-6.342121418721152	2677.3828863731924	
620000	-79796.67902966066	-79082.34126805922	-714.3377616014454	-79082.34126805922	6955.534010510831	-661.6520476909452	7.336197213696461E-4	1.0	1	-6.2324480165505225	2372.438700486591	1.1388796299652927E-4	1	-6.342121418721152	2642.525579849547	
630000	-79790.96020612126	-79079.78267810486	-711.1775280163971	-79079.78267810486	6740.247162147956	-658.5359871595459	6.882879665470165E-4	1.0	1	-6.2324480165505225	2329.723997040871	1.2073422758291498E-4	1	-6.342121418721152	2635.693347581892	
640000	-79811.1127276809	-79096.83901915431	-714.2737085265854	-79096.83901915431	6679.686284630836	-661.4372113590009	6.950484348960536E-4	1.0	1	-6.2324480165505225	2648.03415692967	1.1557704879521365E-4	1	-6.342121418721152	2636.716886901523	
650000	-79809.37965798259	-79095.88708503557	-713.4925729470117	-79095.88708503557	7047.8129787387215	-660.7891057529091	7.125009227378726E-4	1.0	1	-6.2324480165505225	2372.8979009469335	1.1614657101852043E-4	1	-6.342121418721152	2746.6067438944447	
660000	-79819.75393652437	-79100.77170725429	-718.9822292700798	-79100.77170725429	7238.50583517158	-665.5479509964861	6.44209398610339E-4	1.0	1	-6.2324480165505225	2515.9283210473336	1.1000275272545786E-4	1	-6.342121418721152	2584.0739380721184	
670000	-79810.22070453734	-79087.76601882988	-722.4546857074672	-79087.76601882988	7911.645196632463	-668.8156408871924	6.435514324488069E-4	1.0	1	-6.2324480165505225	2601.330121074797	1.0605780658214876E-4	1	-6.342121418721152	2783.4649035147563	
680000	-79809.82901317086	-79093.49693399358	-716.3320791772873	-79093.49693399358	7131.4500254283	-663.4767776299544	7.007219031334753E-4	1.0	1	-6.2324480165505225	2464.8004710182267	1.1444304080318855E-4	1	-6.342121418721152	2783.1725387946685	
690000	-79804.51690753586	-79091.6558926872	-712.8610148486605	-79091.6558926872	6617.225199297675	-659.7215466988071	6.454237786888805E-4	1.0	1	-6.2324480165505225	2449.239651799969	1.1593540259168276E-4	1	-6.342121418721152	2635.7168703017696	
700000	-79814.63922219936	-79096.92199346339	-717.7172287359723	-79096.92199346339	6926.926591727143	-663.7689413953573	5.599285383590955E-4	1.0	1	-6.2324480165505225	2630.8404787937125	1.1205668279616896E-4	1	-6.342121418721152	2858.7432144207114	
710000	-79808.48002969113	-79091.40208547734	-717.0779442137841	-79091.40208547734	7123.5324700783685	-663.0599521141851	5.493403481439868E-4	1.0	1	-6.2324480165505225	2327.622903530943	1.1236542942684428E-4	1	-6.342121418721152	2776.7888891840944	
720000	-79805.93503981717	-79089.66753004568	-716.2675097714887	-79089.66753004568	7326.575907066418	-662.5683109410303	5.82351753590036E-4	1.0	1	-6.2324480165505225	2430.7780413235187	1.1361880119131019E-4	1	-6.342121418721152	2684.6721609024257	
730000	-79805.80819912988	-79085.15463065679	-720.653568473091	-79085.15463065679	7780.8395389249645	-666.3029198282882	5.234788396294563E-4	1.0	1	-6.2324480165505225	2459.447422577249	1.0997413223117867E-4	1	-6.342121418721152	2788.25246484965	
