#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:GTR1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:GTR1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:GTR1">
#                <taxonset id="TaxonSet.GTR1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:GTR1" name="distribution" x="@birthRate.t:GTR1">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:GTR1" name="distribution">
#            <parameter id="clockRate.c:GTR1" name="x">1.0E-4</parameter>
#            <LogNormal id="LogNormalDistributionModel.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.03" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Constraint_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="38" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="2" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="29" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="56" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="51" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="65" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="68" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.01" lower="2392.0" name="distr" upper="2925.0"/>
#        </distribution>
#        <distribution id="Constraint_2.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="6" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="40" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="32" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="73" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="41" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="9" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="19" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.02" lower="2761.0" name="distr" upper="3375.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GTR1" id="treeLikelihood.GTR1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:GTR1">
#            <siteModel gammaCategoryCount="1" id="SiteModel.s:GTR1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GTR1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GTR1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GTR1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="covarion" spec="beast.evolution.substitutionmodel.BinaryCovarion">
#                    <parameter id="bcov_alpha.s:GTR1" lower="1.0E-4" name="alpha" upper="1.0">0.5</parameter>
#                    <parameter id="bcov_s.s:GTR1" lower="1.0E-4" name="switchRate" upper="Infinity">0.5</parameter>
#                    <parameter dimension="2" id="frequencies.s:GTR1" lower="0.0" name="vfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <parameter dimension="2" id="hiddenfrequencies.s:GTR1" lower="0.0" name="hfrequencies" upper="1.0">0.5 0.5</parameter>
#                    <frequencies data="@GTR1" estimate="false" id="dummyfrequencies.s:GTR1" spec="beast.evolution.substitutionmodel.Frequencies"/>
#                </substModel>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GTR1" id="StrictClock.c:GTR1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	monophyletic(Constraint_1)	logP(mrca(Constraint_1))	mrcatime(Constraint_1)	clockRate	monophyletic(Constraint_2)	logP(mrca(Constraint_2))	mrcatime(Constraint_2)	
380000	-28763.232453741708	-28011.725704977373	-751.5067487643367	-28011.725704977373	6804.9883790408	-684.368994853074	4.894062636729245E-4	1.0	1	-6.278521424165844	2437.1231210160095	1.459348313485366E-5	1	-6.419994928147142	2817.0966654604604	
400000	-28765.680464689423	-28009.11680977625	-756.5636549131733	-28009.11680977625	7453.646442332558	-687.9424262010881	4.309863542998094E-4	1.0	1	-6.278521424165844	2753.961464642122	1.2779126047640532E-5	1	-6.419994928147142	3298.801380451071	
420000	-28759.621563915964	-28005.744556770933	-753.8770071450303	-28005.744556770933	7089.786157856228	-685.6459632573209	4.3712778719817816E-4	1.0	1	-6.278521424165844	2532.139736653808	1.3401669947520773E-5	1	-6.419994928147142	3027.2882636642053	
440000	-28769.183472501114	-28010.789850614045	-758.3936218870704	-28010.789850614045	7249.578960924877	-690.8168391078395	5.738117337348368E-4	1.0	1	-6.278521424165844	2546.0464100597383	1.2329399990689567E-5	1	-6.419994928147142	3064.935697112242	
460000	-28755.35570448993	-28010.303707885167	-745.0519966047656	-28010.303707885167	6208.860666041489	-677.6087851251709	4.904067244959015E-4	1.0	1	-6.278521424165844	2695.5332247201786	1.393174268265364E-5	0	-6.419994928147142	2833.46434265313	
480000	-28746.1234733614	-27999.274368276132	-746.8491050852675	-27999.274368276132	6642.165363413533	-680.3136942281502	5.807641189112556E-4	1.0	1	-6.278521424165844	2477.8359499224007	1.4249471620206393E-5	1	-6.419994928147142	2977.799735720674	
500000	-28761.184654395398	-28008.11733929681	-753.0673150985901	-28008.11733929681	6904.6457205627985	-684.7493891419915	4.2996816043829863E-4	1.0	1	-6.278521424165844	2573.9310155729504	1.3380107521697611E-5	1	-6.419994928147142	3137.694106676752	
520000	-28759.23710562402	-28006.5409602178	-752.6961454062189	-28006.5409602178	6952.774752478386	-685.210170755848	5.342914832592985E-4	1.0	1	-6.278521424165844	2661.925476450618	1.3084707500425994E-5	0	-6.419994928147142	3130.644431890826	
540000	-28771.516425087873	-28020.550959823348	-750.9654652645261	-28020.550959823348	6648.305805061795	-683.3139270707553	5.059949996273723E-4	1.0	1	-6.278521424165844	2486.490655180593	1.323530463476658E-5	0	-6.419994928147142	3056.1156593034193	
560000	-28763.68013937032	-28013.284524687584	-750.3956146827384	-28013.284524687584	6941.174476563889	-683.0625037451462	5.219531811962124E-4	1.0	1	-6.278521424165844	2441.3861216488804	1.358745712519088E-5	0	-6.419994928147142	2989.993418103463	
580000	-28769.070061962066	-28017.36846244665	-751.7015995154155	-28017.36846244665	6699.03688113479	-684.9131700212071	5.892084736171172E-4	1.0	1	-6.278521424165844	2662.9426422110328	1.3600929631707221E-5	0	-6.419994928147142	3037.5278872009662	
600000	-28762.537145612325	-28012.952548111025	-749.5845975012996	-28012.952548111025	6401.134359238281	-682.3130127857285	4.891916677119334E-4	1.0	1	-6.278521424165844	2408.5498436491716	1.4312124054394157E-5	0	-6.419994928147142	3192.4938881064822	
620000	-28764.859631953856	-28008.668983035932	-756.1906489179231	-28008.668983035932	7331.738222078334	-689.2725789359173	5.825619541196387E-4	1.0	1	-6.278521424165844	2573.1247145827188	1.3442821982590537E-5	0	-6.419994928147142	3215.722134692243	
640000	-28758.490796405764	-28005.67589359119	-752.8149028145726	-28005.67589359119	6950.755552300653	-685.1072998727655	4.851917593402592E-4	1.0	1	-6.278521424165844	2414.295915421275	1.3496423682560002E-5	0	-6.419994928147142	3068.077723359263	
660000	-28771.3359783563	-28017.37761588715	-753.9583624691461	-28017.37761588715	6929.808152411968	-685.6467320775424	4.2557938043256765E-4	1.0	1	-6.278521424165844	2523.1387981549096	1.3485561122208277E-5	0	-6.419994928147142	2838.9583143514396	
680000	-28762.897328518306	-28015.527899500506	-747.3694290177988	-28015.527899500506	6495.158708306329	-679.8190403381603	5.047950472117088E-4	1.0	1	-6.278521424165844	2575.240663236521	1.3453997061279089E-5	1	-6.419994928147142	2821.24792587869	
700000	-28770.252997366104	-28013.086149282564	-757.1668480835388	-28013.086149282564	7134.220696335293	-688.5610751674162	4.0401897793955526E-4	1.0	1	-6.278521424165844	2720.805204872967	1.3379737891235158E-5	1	-6.419994928147142	3266.833612592379	
720000	-28767.310283544368	-28012.561951631746	-754.7483319126214	-28012.561951631746	7206.111248338022	-687.6687270913635	4.818052467132168E-4	1.0	1	-6.278521424165844	2882.1694179538536	1.4874526160444512E-5	1	-6.419994928147142	3238.6160727589786	
740000	-28763.76433913954	-28012.716133547252	-751.048205592288	-28012.716133547252	6894.5849410672745	-684.4514280659711	5.022307756345006E-4	1.0	1	-6.278521424165844	2649.1369788621105	1.554084889011166E-5	1	-6.419994928147142	3055.2929438786755	
760000	-28754.52932850431	-28004.050128921375	-750.4791995829372	-28004.050128921375	6887.401569554352	-683.5383481388776	5.691979812608663E-4	1.0	1	-6.278521424165844	2493.4647193830388	1.3600871209692357E-5	0	-6.419994928147142	3097.3288578432494	
780000	-28756.48830168316	-28011.181267934593	-745.3070337485655	-28011.181267934593	6445.71398236442	-679.6121257476369	5.706128566350897E-4	1.0	1	-6.278521424165844	2570.313397740748	1.633014812542397E-5	1	-6.419994928147142	2846.902551165464	
800000	-28766.947979318476	-28020.862312261474	-746.0856670570038	-28020.862312261474	6358.779252340216	-679.5745548274784	4.8237699926419707E-4	1.0	0	-6.278521424165844	2568.651314399377	1.6173213037188404E-5	1	-6.419994928147142	2801.3704116150534	
820000	-28748.248547466894	-28004.25309033229	-743.9954571346026	-28004.25309033229	6195.855526762565	-677.0957330071674	4.739837492783382E-4	1.0	1	-6.278521424165844	2525.5415024698755	1.544578051881625E-5	0	-6.419994928147142	2899.821720152392	
840000	-28762.943749413076	-28012.031358844128	-750.9123905689485	-28012.031358844128	6861.794078726747	-683.5998845000136	5.350130193417158E-4	1.0	1	-6.278521424165844	2614.681403761343	1.3409541882862944E-5	0	-6.419994928147142	3049.6949796779213	
860000	-28761.116327154905	-28016.755517559523	-744.3608095953829	-28016.755517559523	6492.432567396172	-678.1117197491226	5.698387834571801E-4	1.0	1	-6.278521424165844	2448.6077639945383	1.5051000672948648E-5	0	-6.419994928147142	2852.391629420053	
880000	-28763.675535497852	-28010.261558879898	-753.4139766179543	-28010.261558879898	7010.11175477494	-685.6904233411411	5.18857564686536E-4	1.0	1	-6.278521424165844	2453.349476843129	1.2882571400736824E-5	0	-6.419994928147142	2935.361501409353	
900000	-28792.102681920653	-28029.326043151697	-762.7766387689547	-28029.326043151697	7233.667453927795	-692.9407208404549	3.2201615260039494E-4	1.0	1	-6.278521424165844	2822.7284004589324	1.3068352818102266E-5	1	-6.419994928147142	2952.5281445035835	
920000	-28769.36120195927	-28014.8610744479	-754.5001275113665	-28014.8610744479	6585.23757668812	-688.2688582282535	6.512452838697389E-4	1.0	1	-6.278521424165844	2672.482412058888	1.3842763790050736E-5	0	-6.419994928147142	3105.7570352294642	
940000	-28760.59109292205	-28013.24058707382	-747.3505058482344	-28013.24058707382	6572.683264813567	-680.2717404640988	5.331629789916624E-4	1.0	1	-6.278521424165844	2625.0125443906313	1.3909415095922934E-5	0	-6.419994928147142	2792.562590083899	
960000	-28752.22821822943	-28003.385173052437	-748.843045176993	-28003.385173052437	6535.840554191264	-681.6395253259168	5.615117329403809E-4	1.0	1	-6.278521424165844	2494.5743224555467	1.3203034344526386E-5	0	-6.419994928147142	2874.265893340223	
980000	-28755.04903628619	-28012.98742095808	-742.0616153281088	-28012.98742095808	5992.453825243047	-675.6224477201108	5.084997268482675E-4	1.0	1	-6.278521424165844	2569.788454468875	1.5778058019489197E-5	0	-6.419994928147142	2921.613307881558	
1000000	-28756.009964854296	-28008.459919144003	-747.550045710295	-28008.459919144003	6257.973468775576	-680.4030977332912	5.462947601383823E-4	1.0	1	-6.278521424165844	2529.9460751087663	1.3553115714954299E-5	1	-6.419994928147142	2928.52521182895	
1020000	-28764.648189509047	-28011.2216787766	-753.426510732446	-28011.2216787766	7245.962392743468	-686.3699510348413	5.173887322630723E-4	1.0	1	-6.278521424165844	2428.3016758345234	1.4233838111374045E-5	0	-6.419994928147142	3101.492128742735	
1040000	-28761.37894991743	-28004.420053239573	-756.958896677857	-28004.420053239573	7216.921925369566	-688.2565486059235	4.216540484780225E-4	1.0	1	-6.278521424165844	2746.594167087789	1.2815976635971595E-5	0	-6.419994928147142	3329.988309122329	
1060000	-28771.451749177068	-28022.151845775665	-749.299903401403	-28022.151845775665	6637.944398774907	-681.8736097256514	5.177254629494822E-4	1.0	1	-6.278521424165844	2491.8092128259564	1.3474775930788555E-5	0	-6.419994928147142	2867.259418453899	
1080000	-28760.715752224733	-28011.423990983163	-749.2917612415686	-28011.423990983163	6798.838365322947	-681.2611161290633	4.031517516638799E-4	1.0	1	-6.278521424165844	2470.9670502295417	1.458300909182005E-5	0	-6.419994928147142	2889.0652717062894	
1100000	-28758.92061146276	-28013.1328773513	-745.7877341114568	-28013.1328773513	6246.137643200882	-678.7463385642783	5.003866562572727E-4	1.0	1	-6.278521424165844	2547.3391568815523	1.4585426799835552E-5	1	-6.419994928147142	2825.8747620715303	
1120000	-28752.81617723108	-28002.11324091042	-750.7029363206606	-28002.11324091042	6685.3094971845385	-683.1232915428928	4.8886543311185E-4	1.0	1	-6.278521424165844	2506.4104136851806	1.3683659565426875E-5	1	-6.419994928147142	3020.186279720656	
1140000	-28769.273808093996	-28008.638781521116	-760.6350265728812	-28008.638781521116	7430.913007447441	-692.4409924433044	5.317878153207849E-4	1.0	1	-6.278521424165844	2713.027758265724	1.183906334441634E-5	1	-6.419994928147142	3187.3356987506395	
1160000	-28758.397574617273	-28013.64799999106	-744.7495746262124	-28013.64799999106	6449.192822964695	-677.4565867181187	4.929451909813969E-4	1.0	1	-6.278521424165844	2492.338901064184	1.4194585677731446E-5	0	-6.419994928147142	2949.8353941850705	
