#
#model:
#
#<?xml version="1.0" encoding="UTF-8" standalone="no"?><input id="posterior" spec="beast.core.util.CompoundDistribution">
#    <distribution id="prior" spec="beast.core.util.CompoundDistribution">
#        <distribution id="YuleModel.t:GTR1" spec="beast.evolution.speciation.YuleModel">
#            <parameter id="birthRate.t:GTR1" name="birthDiffRate">1.0</parameter>
#            <tree id="Tree.t:GTR1">
#                <taxonset id="TaxonSet.GTR1" spec="beast.evolution.alignment.TaxonSet">
#                </taxonset>
#            </tree>
#        </distribution>
#        <prior id="YuleBirthRatePrior.t:GTR1" name="distribution" x="@birthRate.t:GTR1">
#            <LogNormal id="LogNormalDistributionModel.0" name="distr">
#                <parameter estimate="false" id="RealParameter.0" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.01" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <prior id="ClockPrior.c:GTR1" name="distribution">
#            <parameter id="clockRate.c:GTR1" name="x">1.0E-4</parameter>
#            <LogNormal id="LogNormalDistributionModel.01" name="distr">
#                <parameter estimate="false" id="RealParameter.02" name="M">1.0</parameter>
#                <parameter estimate="false" id="RealParameter.03" lower="0.0" name="S" upper="5.0">1.25</parameter>
#            </LogNormal>
#        </prior>
#        <distribution id="Constraint_1.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_1" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="21" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="44" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="58" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="40" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="31" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="35" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="1" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="41" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.01" lower="2260.0" name="distr" upper="2763.0"/>
#        </distribution>
#        <distribution id="Constraint_2.prior" spec="beast.math.distributions.MRCAPrior" tree="@Tree.t:GTR1">
#            <taxonset id="Constraint_2" spec="beast.evolution.alignment.TaxonSet">
#                <taxon id="76" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="27" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="51" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="42" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="15" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="71" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="47" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="62" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="8" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="18" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="49" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="77" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="48" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="30" spec="beast.evolution.alignment.Taxon"/>
#                <taxon id="7" spec="beast.evolution.alignment.Taxon"/>
#            </taxonset>
#            <Uniform id="Uniform.02" lower="2344.0" name="distr" upper="2866.0"/>
#        </distribution>
#    </distribution>
#    <distribution id="likelihood" spec="beast.core.util.CompoundDistribution">
#        <distribution data="@GTR1" id="treeLikelihood.GTR1" spec="beast.evolution.likelihood.TreeLikelihood" tree="@Tree.t:GTR1">
#            <siteModel id="SiteModel.s:GTR1" spec="beast.evolution.sitemodel.SiteModel">
#                <parameter id="mutationRate.s:GTR1" name="mutationRate">1.0</parameter>
#                <parameter estimate="false" id="gammaShape.s:GTR1" name="shape">1.0</parameter>
#                <parameter estimate="false" id="proportionInvariant.s:GTR1" lower="0.0" name="proportionInvariant" upper="1.0">0.0</parameter>
#                <substModel id="LewisMK.s:GTR1" spec="beast.evolution.substitutionmodel.LewisMK" stateNumber="2"/>
#            </siteModel>
#            <branchRateModel clock.rate="@clockRate.c:GTR1" id="StrictClock.c:GTR1" spec="beast.evolution.branchratemodel.StrictClockModel"/>
#        </distribution>
#    </distribution>
#</input>
#
Sample	posterior	likelihood	prior	treeLikelihood	TreeHeight	YuleModel	birthRate	mutationRate	monophyletic(Constraint_1)	logP(mrca(Constraint_1))	mrcatime(Constraint_1)	clockRate	monophyletic(Constraint_2)	logP(mrca(Constraint_2))	mrcatime(Constraint_2)	
180000	-73099.12967362643	-72392.08470287749	-707.0449707489504	-72392.08470287749	5839.828990793188	-653.462068621501	6.478608284901534E-4	1.0	1	-6.220590170099739	2445.35917087239	1.0473314741313476E-4	1	-6.257667587882639	2444.3262936260367	
190000	-73090.86555250955	-72385.56004628465	-705.305506224897	-72385.56004628465	5643.26093982226	-653.0037828683227	8.638000637700005E-4	1.0	1	-6.220590170099739	2284.267505765883	1.058728404609673E-4	1	-6.257667587882639	2492.024841748638	
200000	-73098.53263250442	-72395.51486670559	-703.0177657988304	-72395.51486670559	5511.685511548277	-651.1296508185632	8.989213531643438E-4	1.0	1	-6.220590170099739	2309.2278997401445	1.1078177489301825E-4	1	-6.257667587882639	2373.6450269731	
210000	-73084.97708493863	-72382.70528679258	-702.2717981460404	-72382.70528679258	5505.2291950849285	-649.3936226122047	7.275896190866608E-4	1.0	1	-6.220590170099739	2274.4517824409686	1.0872499614005573E-4	1	-6.257667587882639	2385.385705273569	
220000	-73089.80428287319	-72387.31768190971	-702.4866009634717	-72387.31768190971	5707.999658876028	-650.4367071687301	8.788152514493504E-4	1.0	1	-6.220590170099739	2261.5892237220814	1.0940969008333718E-4	1	-6.257667587882639	2398.0558591037316	
230000	-73107.27723558448	-72388.26566791548	-719.0115676690101	-72388.26566791548	6568.077077549696	-663.8722183152213	5.364969116137961E-4	1.0	1	-6.220590170099739	2633.1238091156147	9.187286665518787E-5	1	-6.257667587882639	2717.057066151182	
240000	-73088.75818374143	-72382.7383614707	-706.0198222707213	-72382.7383614707	5832.68487405086	-652.4703889856955	6.456864743720836E-4	1.0	1	-6.220590170099739	2382.2180357844245	1.0565193776019858E-4	1	-6.257667587882639	2405.547219867125	
250000	-73095.14515864762	-72394.7325241785	-700.4126344691107	-72394.7325241785	5329.399718569064	-647.5401251836039	6.982849587937919E-4	1.0	1	-6.220590170099739	2394.9636127858307	1.1239321494897594E-4	1	-6.257667587882639	2372.9343937448907	
260000	-73115.24157712318	-72402.95600225104	-712.2855748721385	-72402.95600225104	6074.516217869975	-659.5104019719075	8.435553593344072E-4	1.0	1	-6.220590170099739	2600.558872793228	9.892373090741207E-5	1	-6.257667587882639	2685.4523636920035	
270000	-73102.62612489547	-72390.25461146134	-712.3715134341363	-72390.25461146134	6133.739134835449	-658.4786741031403	6.679414854843745E-4	1.0	1	-6.220590170099739	2706.4820845365875	9.668733557397378E-5	1	-6.257667587882639	2664.493538481776	
280000	-73102.88879173642	-72386.9286404414	-715.9601512950185	-72386.9286404414	6521.60400537303	-662.0812405497337	7.024226025336209E-4	1.0	1	-6.220590170099739	2627.3126121857567	9.323121409705526E-5	1	-6.257667587882639	2653.133643828893	
290000	-73098.05665743738	-72396.01119682478	-702.0454606125998	-72396.01119682478	5433.151605198631	-650.1428040394688	9.080318517348351E-4	1.0	1	-6.220590170099739	2419.3611907529485	1.0965095232399163E-4	1	-6.257667587882639	2376.423657018296	
300000	-73111.26870644887	-72399.07645685993	-712.1922495889403	-72399.07645685993	5880.766344209449	-658.7797157964712	7.431380827349325E-4	1.0	1	-6.220590170099739	2679.2964935530276	9.709139444325114E-5	1	-6.257667587882639	2555.30073064144	
310000	-73112.7933680772	-72407.90883194745	-704.8845361297487	-72407.90883194745	6071.466981660445	-651.8129506191582	7.134128526114026E-4	1.0	1	-6.220590170099739	2261.267919610486	1.0657938206120902E-4	1	-6.257667587882639	2401.403476553133	
320000	-73094.9471815035	-72385.4241997605	-709.522981743001	-72385.4241997605	6008.432146756077	-656.0357393953628	7.002777360747876E-4	1.0	1	-6.220590170099739	2540.1642090493133	1.0027690351601064E-4	1	-6.257667587882639	2629.5894356275294	
330000	-73095.16232025341	-72391.1604982849	-704.0018219685178	-72391.1604982849	5987.120857020997	-651.1409376681623	7.472629065950097E-4	1.0	1	-6.220590170099739	2513.139086952338	1.0683418535059014E-4	1	-6.257667587882639	2451.201068711706	
340000	-73094.19750247021	-72384.91274284378	-709.2847596264312	-72384.91274284378	5806.991720996038	-656.0773130048116	7.355443615988819E-4	1.0	1	-6.220590170099739	2459.438290431588	1.0155153053223975E-4	1	-6.257667587882639	2627.0440412057096	
350000	-73093.24549707845	-72388.47904538533	-704.7664516931135	-72388.47904538533	5615.376045672511	-651.8742995254144	7.606880055842929E-4	1.0	1	-6.220590170099739	2312.9210355177556	1.047791846160561E-4	1	-6.257667587882639	2454.5695395159955	
360000	-73091.89970069504	-72386.01205759383	-705.8876431012018	-72386.01205759383	5537.887836983937	-653.4485239374293	8.423804498229365E-4	1.0	1	-6.220590170099739	2459.8441132950743	1.052419540125573E-4	1	-6.257667587882639	2382.380049320737	
370000	-73101.27765889808	-72394.27243763395	-707.005221264126	-72394.27243763395	5912.369960072586	-654.264572981744	7.83248957000157E-4	1.0	1	-6.220590170099739	2522.955248709252	1.0531308257853455E-4	1	-6.257667587882639	2482.59945384933	
380000	-73109.99264732252	-72401.19634379786	-708.7963035246702	-72401.19634379786	5644.845755488691	-655.728900098458	7.649972818656324E-4	1.0	1	-6.220590170099739	2553.5005181379565	1.0106352840045623E-4	1	-6.257667587882639	2507.86358178277	
390000	-73107.03425969188	-72393.52672445023	-713.5075352416435	-72393.52672445023	6257.578391200125	-658.862695084948	5.658113923887348E-4	1.0	1	-6.220590170099739	2512.7093058385035	9.622817706784776E-5	1	-6.257667587882639	2706.593927708823	
400000	-73099.4932187956	-72395.32127163252	-704.1719471630785	-72395.32127163252	5511.980766680429	-652.4680568687485	9.510342883645703E-4	1.0	1	-6.220590170099739	2463.6239016836507	1.0982514503471044E-4	1	-6.257667587882639	2360.823499863031	
410000	-73100.01383472314	-72394.58086713061	-705.4329675925209	-72394.58086713061	5624.213750618473	-652.7046094477575	7.886206617413512E-4	1.0	1	-6.220590170099739	2446.5375407904103	1.0499738400455812E-4	1	-6.257667587882639	2583.694141851417	
